French,English
partie,part
histoire,history
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
car,because
chaque,each
parlé,speak
bébé,baby
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
voici,here is
pourrais,could
affaire,case
type,type
donné,given
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
dirait,would say
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
jouer,to play
bureau,office
